"子订单编号","主订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码","支付单号","买家应付货款","买家实际支付金额","退款状态","退款金额","订单创建时间","订单付款时间"
="2848032324402061323",="2848032324402061323","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：醇香牛油150g*1袋（2-3人份）","null","null","卖家已发货，等待买家确认","null",="2022082722001118451417504030","6.56","6.56","没有申请退款","无退款申请","2022-08-27 23:11:26","2022-08-27 23:11:33"
="2849651787980499932",="2849651787980499932","安琪高活性干酵母粉5g低糖型耐高糖型发孝包子发面发酵粉家用商用","4.50","1","AQZH43","颜色分类：5g*5袋【无赠品】","null","null","交易关闭","AQZH43",="2022082722001100661442055987","3.71","3.71","退款成功","3.71","2022-08-27 23:11:09","2022-08-27 23:11:26"
="1654645836025887068",="1654645836025887068","海底捞鱼香肉丝调味料100g*3包川菜调味酱汁鱼香茄子家常菜调料包","30.00","1","null","null","null","null","卖家已发货，等待买家确认","null",="2022082722001177491457057756","12.83","12.83","没有申请退款","无退款申请","2022-08-27 23:09:34","2022-08-27 23:09:39"
="2849650383678998405",="2849650383678998405","雀巢Maggi美极土豆泥速食冲泡桶装懒人早餐食品即食方便速溶宵夜","42.40","1","null","口味：【共6盒】原味牛肉2盒+玉米2盒+洋葱2盒","null","null","交易成功","null",="2022082722001182981459256438","31.19","31.19","没有申请退款","无退款申请","2022-08-27 23:09:14","2022-08-27 23:09:16"
="1654644468582860496",="1654644468582860496","雀巢Maggi美极土豆泥速食冲泡桶装懒人早餐食品即食方便速溶宵夜","32.80","1","MJZH34","口味：4口味各1盒（经典款）","null","null","交易成功","MJZH34",="2022082722001122931400064405","21.16","21.16","没有申请退款","无退款申请","2022-08-27 23:09:13","2022-08-27 23:09:19"
="2849649303660696921",="2849649303660696921","海底捞麻辣清油火锅底料220g四川重庆正宗串串香家用成都冒菜调料","12.90","1","null","口味：清油火锅底料220g*1袋","null","null","卖家已发货，等待买家确认","null",="2022082722001124171445121624","12.52","12.52","没有申请退款","无退款申请","2022-08-27 23:08:35","2022-08-27 23:08:43"
="2848025808619890449",="2848025808619890449","陈克明儿童挂面条280g*3袋无盐蔬菜杂粮小面高钙挂面营养面条早餐","19.80","1","null","口味：蔬菜小面280g*3袋","null","邮政拒收","交易成功","null",="2022082722001149281445963836","19.34","19.34","没有申请退款","无退款申请","2022-08-27 23:07:36","2022-08-27 23:07:44"
="2849308706541133506",="2849308706541133506","草原红太阳烧烤蘸料原味45g*5袋腌料蘸料烧烤撒料烤面筋BBQ调味料","25.80","1","null","null","null","null","卖家已发货，等待买家确认","null",="2022082722001139881455836637","14.36","14.36","没有申请退款","无退款申请","2022-08-27 23:07:34","2022-08-27 23:07:40"
="2848026312380906210",="2848026312380906210","安琪甜酒曲8g*20袋米酒做醪糟曲子甜酒月子酒糯米酒酿酵母甜味型","5.50","1","AQZH31","颜色分类：【甜味型】甜酒曲8g*5袋（送蒸布）","null","null","交易成功","AQZH31",="2022082722001129391401888333","5.34","5.34","没有申请退款","无退款申请","2022-08-27 23:07:28","2022-08-27 23:07:30"
="2849308166623331524",="2849308166623331524","陈克明鸡蛋风味面500g*3袋 非油炸波纹面条方便面麻辣烫火锅面条","15.90","1","null","口味：【非油炸】鸡蛋风味面500g*2袋(小包）","null","null","卖家已发货，等待买家确认","null",="2022082722001120691446610289","15.43","15.43","没有申请退款","无退款申请","2022-08-27 23:07:13","2022-08-27 23:07:14"
