"子订单编号","主订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码","支付单号","买家应付货款","买家实际支付金额","退款状态","退款金额","订单创建时间","订单付款时间"
="2863038027799945025",="2863038027799945025","陈克明鸡蛋刀削挂面1kg×2袋陕西油泼面宽面条挂面烩面速食刀削面","17.90","1","null","口味：【鸡蛋风味】刀削挂面1kg+刀削面片240g","null","null","交易成功","null",="2022090222001125831403365427","17.37","17.37","没有申请退款","无退款申请","2022-09-02 23:59:48","2022-09-03 00:00:01"
="2863038387732519162",="2863038387731519162","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：醇香牛油150g*1袋（2-3人份）","null","null","交易成功","null",="2022090222001189851412576730","6.90","6.90","没有申请退款","无退款申请","2022-09-02 23:59:44","2022-09-02 23:59:52"
="2863038387733519162",="2863038387731519162","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：浓香牛油150g*1袋（2-3人份）","null","null","交易成功","null",="2022090222001189851412576730","6.90","6.90","没有申请退款","无退款申请","2022-09-02 23:59:44","2022-09-02 23:59:52"
="2863038387734519162",="2863038387731519162","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","7.90","1","null","口味：青椒牛油150g*1袋（2-3人份）","null","null","交易成功","null",="2022090222001189851412576730","7.90","7.90","没有申请退款","无退款申请","2022-09-02 23:59:44","2022-09-02 23:59:52"
="1660220076939810385",="1660220076938810385","好侍百梦多咖喱辣味100g*3盒日式风味块状咖喱酱家用咖喱拌饭调料","45.00","1","null","null","null","null","交易成功","null",="2022090222001125491404646186","28.91","28.91","没有申请退款","无退款申请","2022-09-02 23:59:00","2022-09-02 23:59:29"
="1660220076940810385",="1660220076938810385","海底捞水煮肉片调味料100g *3包家常菜火锅水煮肉片川菜调味料包","23.70","1","null","null","null","null","交易成功","null",="2022090222001125491404646186","21.61","21.61","没有申请退款","无退款申请","2022-09-02 23:59:00","2022-09-02 23:59:29"
="1660220076941810385",="1660220076938810385","海底捞番茄火锅底料200g酸爽汤底煲汤调料家用正宗四川重庆不辣","20.00","2","null","口味：番茄味","null","null","交易成功","null",="2022090222001125491404646186","17.30","17.30","没有申请退款","无退款申请","2022-09-02 23:59:00","2022-09-02 23:59:29"
="1660220076942810385",="1660220076938810385","海底捞宫保鸡丁调味料80g*3包 宫保鸡丁酱川菜调料酱家常菜佐料包","30.00","1","null","null","null","null","交易成功","null",="2022090222001125491404646186","13.15","13.15","没有申请退款","无退款申请","2022-09-02 23:59:00","2022-09-02 23:59:29"
="1660220076943810385",="1660220076938810385","海底捞鱼香肉丝调味料100g*3包川菜调味酱汁鱼香茄子家常菜调料包","30.00","1","null","null","null","null","交易成功","null",="2022090222001125491404646186","12.91","12.91","没有申请退款","无退款申请","2022-09-02 23:59:00","2022-09-02 23:59:29"
="1660220076944810385",="1660220076938810385","海底捞麻辣清油火锅底料220g四川重庆正宗串串香家用成都冒菜调料","12.90","3","null","口味：清油火锅底料220g*1袋","null","null","交易成功","null",="2022090222001125491404646186","37.67","37.67","没有申请退款","无退款申请","2022-09-02 23:59:00","2022-09-02 23:59:29"
="1660220256589536283",="1660220256589536283","王致和红豆沙馅泥500g家用粽子月饼馅料面包夹心商用即食包子烘培","9.50","1","wzhhds01","颜色分类：红豆沙500g*1袋","null","null","交易成功","wzhhds01",="2022090222001198881400970607","9.22","9.22","没有申请退款","无退款申请","2022-09-02 23:58:28","2022-09-02 23:58:33"
="1660935003189707779",="1660935003188707779","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","8.50","1","null","口味：红咖喱牛油150g*1袋（2-3人份）","null","null","交易成功","null",="2022090222001109181445989290","8.08","8.08","没有申请退款","无退款申请","2022-09-02 23:58:11","2022-09-02 23:58:18"
="1660935003190707779",="1660935003188707779","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","12.90","1","null","口味：冬阴功火锅底料210g*1袋","null","null","交易成功","null",="2022090222001109181445989290","12.26","12.26","没有申请退款","无退款申请","2022-09-02 23:58:11","2022-09-02 23:58:18"
="1660935003191707779",="1660935003188707779","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","9.90","1","null","口味：酸香番茄200g*1袋（3-5人份）","null","null","交易成功","null",="2022090222001109181445989290","9.41","9.41","没有申请退款","无退款申请","2022-09-02 23:58:11","2022-09-02 23:58:18"
="2863037307552598532",="2863037307552598532","陈克明宽挂面800g*3袋 热干面油泼面炸酱面烩面炒面凉面速食面条","20.90","1","null","口味：圆挂面800g*3袋","null","null","交易成功","null",="2022090222001116761447816438","20.28","20.28","没有申请退款","无退款申请","2022-09-02 23:58:08","2022-09-02 23:58:12"
="2862305281597836525",="2862305281596836525","海天柱侯酱380g*2瓶柱候酱炖肉火锅蘸酱拌饭拌面烧烤调味酱广东","10.80","1","htzhj001","口味：【实惠大瓶】-.柱侯酱380g*1瓶","null","null","交易成功","htzhj001",="2022090222001150251416178516","10.80","10.80","没有申请退款","无退款申请","2022-09-02 23:57:50","2022-09-02 23:58:34"
="2862305281598836525",="2862305281596836525","正品海天海鲜酱400g小瓶装烧烤蘸料红烧肉鱼拌面调味酱油火锅调料","9.99","1","hthxj001","口味：【实惠大瓶】-.海鲜酱400g*1瓶","null","null","交易成功","hthxj001",="2022090222001150251416178516","9.99","9.99","没有申请退款","无退款申请","2022-09-02 23:57:50","2022-09-02 23:58:34"
="1660917434804984794",="1660917434804984794","安琪高活性干酵母粉5g低糖型耐高糖型发孝包子发面发酵粉家用商用","4.50","1","AQZH43","颜色分类：5g*5袋【无赠品】","null","null","交易成功","AQZH43",="2022090222001100381424060367","4.28","4.28","没有申请退款","无退款申请","2022-09-02 23:56:22","2022-09-02 23:57:02"
="2863034535649064465",="2863034535649064465","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","4","null","口味：1人份丨番茄底料125g","null","null","交易关闭","null",="2022090222001128091446504435","27.60","27.60","退款成功","27.60","2022-09-02 23:56:01","2022-09-02 23:56:04"
="2862652754701539363",="2862652754701539363","陈克明宽挂面800g*3袋 热干面油泼面炸酱面烩面炒面凉面速食面条","20.90","1","null","口味：圆挂面800g*3袋","null","null","交易成功","null",="2022090222001135431401206670","20.28","20.28","没有申请退款","无退款申请","2022-09-02 23:55:50","2022-09-02 23:56:12"
="1661014777932663676",="1661014777932663676","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","2","null","口味：1人份丨番茄底料125g","null","null","交易成功","null",="2022090222001122701406578838","13.11","13.11","没有申请退款","无退款申请","2022-09-02 23:55:31","2022-09-02 23:55:37"
="2862300313845614636",="2862300313845614636","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","13.80","1","null","口味：【买就送5】醇香牛油+浓香牛油","null","null","交易成功","null",="2022090222001112061450186949","13.11","13.11","没有申请退款","无退款申请","2022-09-02 23:54:10","2022-09-02 23:54:11"
="2861434548231529757",="2861434548231529757","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","9.90","1","null","口味：酸香番茄200g*1袋（3-5人份）","null","走极兔邮政中通，记得送我小礼物哦，谢谢","交易成功","null",="2022090222001136301429273683","9.41","9.41","没有申请退款","无退款申请","2022-09-02 23:53:20","2022-09-02 23:53:23"
="1661014201509597689",="1661014201509597689","雀巢Maggi美极土豆泥速食冲泡桶装懒人早餐食品即食方便速溶宵夜","53.20","1","MJZH58","口味：【共8盒】4口味各2盒（经典款）","null","null","交易成功","MJZH58",="2022090222001129031434476495","43.20","43.20","没有申请退款","无退款申请","2022-09-02 23:53:19","2022-09-02 23:53:26"
="2862299089641529757",="2862299089641529757","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","9.90","1","null","口味：酸香番茄200g*1袋（3-5人份）","null","走极兔邮政中通，记得送我小礼物哦，谢谢","交易成功","null",="2022090222001136301429074968","9.41","9.41","没有申请退款","无退款申请","2022-09-02 23:52:28","2022-09-02 23:52:34"
="2862299737604644026",="2862299737604644026","海底捞清汤火锅底料110g鲜菌汤不辣大骨汤料煲汤煮面调料小包家用","30.00","1","null","口味：清汤","null","null","交易成功","null",="2022090222001119101453689849","12.52","12.52","没有申请退款","无退款申请","2022-09-02 23:52:25","2022-09-02 23:52:32"
="1660216980316478997",="1660216980316478997","海底捞青椒牛油火锅底料150g重庆麻辣串串香炒菜煮面青椒鱼调味料","20.00","1","null","null","null","null","交易成功","null",="2022090222001126831405698922","7.67","7.67","没有申请退款","无退款申请","2022-09-02 23:51:09","2022-09-03 00:02:13"
="2863030143240907421",="2863030143240907421","海底捞火锅蘸料120g*3包原味香辣麻辣芝麻花生酱小包装调味料家用","11.70","1","null","口味：香辣蘸料120g*3袋","null","null","交易成功","null",="2022090222001126911401374236","11.59","11.59","没有申请退款","无退款申请","2022-09-02 23:50:18","2022-09-02 23:50:45"
