"子订单编号","主订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码","支付单号","买家应付货款","买家实际支付金额","退款状态","退款金额","订单创建时间","订单付款时间"
="2897336196262479320",="2897336196262479320","陈克明宽挂面800g*3袋 热干面油泼面炸酱面烩面炒面凉面速食面条","20.90","1","null","口味：宽挂面800g*3袋","null","null","交易成功","null",="2022091922001120121422550596","20.90","20.90","没有申请退款","无退款申请","2022-09-19 23:59:46","2022-09-20 18:24:59"
="2898558290937532964",="2898558290937532964","海天豆瓣酱230g蒸排骨拌面蒸鱼辣椒煎炒蘸焖酱类调料厨房调味酱料","11.80","1","htdbj01","null","null","null","交易成功","htdbj01",="2022091922001103591410865566","11.45","11.45","没有申请退款","无退款申请","2022-09-19 23:59:43","2022-09-19 23:59:48"
="2898858567564514438",="2898858567564514438","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：1人份丨番茄底料125g","null","null","交易成功","null",="2022091922001133981440155489","6.90","6.63","没有申请退款","无退款申请","2022-09-19 23:59:23","2022-09-20 00:09:48"
="1675470866312036175",="1675470866312036175","太太乐汤之鲜调味料瑶柱鸡汤猪骨牛肉速食汤料高汤浓缩家用小包装","14.90","1","null","净含量：112g;口味：汤之鲜瑶柱鸡汤味112g*1盒","null","null","交易成功","null",="2022091922001137431436598629","10.80","10.80","没有申请退款","无退款申请","2022-09-19 23:56:49","2022-09-19 23:57:16"
="1675503123889355193",="1675503123889355193","小龙坎干碟香辣蘸料100g辣椒粉烧烤串串蘸碟辣椒面四川火锅调味料","25.80","3","null","null","null","null","交易成功","null",="2022091922001149191413312704","41.40","41.40","没有申请退款","无退款申请","2022-09-19 23:56:39","2022-09-19 23:56:40"
="1675504383195852584",="1675504383195852584","陈克明宽挂面800g*3袋 热干面油泼面炸酱面烩面炒面凉面速食面条","20.90","1","null","口味：细挂面800g*3袋","null","null","交易成功","null",="2022091922001114741419688783","20.28","20.28","没有申请退款","无退款申请","2022-09-19 23:55:26","2022-09-19 23:55:31"
="2898856911004256054",="2898856911004256054","陈克明宽挂面800g*3袋 热干面油泼面炸酱面烩面炒面凉面速食面条","20.90","1","null","口味：宽挂面800g*3袋","null","null","交易成功","null",="2022091922001158551420797706","20.28","20.28","没有申请退款","无退款申请","2022-09-19 23:55:16","2022-09-19 23:55:29"
="1675468886590158481",="1675468886590158481","陈克明宽挂面800g*3袋 热干面油泼面炸酱面烩面炒面凉面速食面条","20.90","1","null","口味：【3袋组合】宽挂面*1+细挂面*1+圆挂面*1","null","null","交易成功","null",="2022091922001145961431670356","20.28","20.28","没有申请退款","无退款申请","2022-09-19 23:54:13","2022-09-19 23:54:25"
="2898140113255369322",="2898140113255369322","太太乐三鲜鸡精500g*2袋替代味精三鲜鸡精家用炒菜煲汤火锅调味料","39.60","1","TTLZH13","null","null","null","交易成功","TTLZH13",="2022091922001196331450873951","39.60","39.60","没有申请退款","无退款申请","2022-09-19 23:54:10","2022-09-19 23:54:13"
="2898137269791402815",="2898137269791402815","陈克明宽挂面800g*3袋 热干面油泼面炸酱面烩面炒面凉面速食面条","20.90","1","null","口味：【3袋组合】宽挂面*1+细挂面*1+圆挂面*1","null","null","交易成功","null",="2022091922001156601422387630","20.28","20.28","没有申请退款","无退款申请","2022-09-19 23:53:45","2022-09-19 23:53:51"
